区市町村名,学校名,募集人員（男女問わず）,最終応募人員（男女問わず）,最終応募倍率（男女問わず）
千代田,日比谷,253,459,1.81
港,三田,204,393,1.93
新宿,戸山,252,499,1.98
文京,竹早,177,313,1.77
文京,向丘,220,440,2.00
台東,上野,252,491,1.95
墨田,日本橋,179,239,1.34
墨田,本所,189,379,2.01
江東,城東,284,542,1.91
江東,深川,185,318,1.72
品川,大崎,221,336,1.52
品川,小山台,252,339,1.35
品川,八潮,148,173,1.17
目黒,駒場,252,460,1.83
目黒,目黒,189,371,1.96
大田,大森,165,69,0.42
大田,蒲田,85,92,1.08
大田,田園調布,168,314,1.87
大田,雪谷,221,380,1.72
世田谷,桜町,252,271,1.08
世田谷,千歳丘,221,295,1.33
世田谷,深沢,142,124,0.87
世田谷,松原,156,165,1.06
渋谷,青山,221,458,2.07
渋谷,広尾,157,339,2.16
中野,鷺宮,220,366,1.66
中野,武蔵丘,253,469,1.85
杉並,杉並,253,428,1.69
杉並,豊多摩,252,471,1.87
杉並,西,252,428,1.70
豊島,豊島,253,574,2.27
豊島,文京,284,408,1.44
荒川,竹台,183,280,1.53
板橋,板橋,221,348,1.57
板橋,大山,169,103,0.61
板橋,北園,253,450,1.78
練馬,高島,252,326,1.29
練馬,井草,221,422,1.91
練馬,石神井,220,373,1.70
練馬,田柄,134,117,0.87
練馬,練馬,189,255,1.35
練馬,光丘,185,186,1.01
足立,青井,137,169,1.23
足立,足立,252,338,1.34
足立,足立新田,209,243,1.16
足立,足立西,156,180,1.15
足立,足立東,122,162,1.33
足立,淵江,252,386,1.53
足立,淵江,179,229,1.28
葛飾,葛飾野,253,345,1.36
葛飾,南葛飾,161,226,1.40
江戸川,江戸川,253,433,1.71
江戸川,葛西南,190,195,1.03
江戸川,小岩,284,471,1.66
江戸川,小松川,253,321,1.27
江戸川,篠崎,222,267,1.20
江戸川,紅葉川,189,284,1.50
八王子,片倉,189,230,1.22
八王子,八王子北,158,181,1.15
八王子,八王子東,252,342,1.36
八王子,富士森,249,297,1.19
八王子,松が谷,220,300,1.36
立川,立川,220,318,1.45
武蔵野,武蔵野北,189,255,1.35
青梅,多摩,157,109,0.69
府中,府中,220,418,1.90
府中,府中西,235,288,1.23
府中,府中東,240,361,1.50
昭島,昭和,252,379,1.50
昭島,拝島,221,267,1.21
調布,調布,252,456,1.81
調布,調布北,188,298,1.59
調布,調布南,189,327,1.73
町田,町田,252,312,1.24
町田,成瀬,221,249,1.13
町田,野津田,99,60,0.61
町田,町田,253,359,1.42
町田,山崎,138,155,1.12
小金井,小金井北,189,317,1.68
小平,小平,189,264,1.40
小平,小平西,222,313,1.41
小平,小平南,221,363,1.64
日野,日野,253,430,1.70
日野,日野台,241,335,1.39
日野,南平,253,398,1.57
東村山,東村山,116,166,1.43
東村山,東村山西,189,210,1.11
国立,国立,252,393,1.56
福生,福生,221,286,1.29
狛江,狛江,285,460,1.61
東大和,東大和,221,293,1.33
東大和,東大和南,220,304,1.38
清瀬,清瀬,220,306,1.39
東久留米,東久留米西,188,203,1.08
武蔵村山,武蔵村山,221,244,1.10
多摩,永山,236,303,1.28
羽村,羽村,201,136,0.68
あきる野,秋留台,136,184,1.35
あきる野,五日市,136,48,0.35
西東京,田無,252,377,1.50
西東京,保谷,253,429,1.70
大島,大島,80,22,0.28
新島,新島,40,8,0.20
神津島,神津,40,17,0.43
三宅,三宅,40,2,0.05
八丈,八丈,76,28,0.37
小笠原,小笠原,30,14,0.47

